OBJECTID,FIRE_ID,FIRE_YEAR,FIRE_NUMBER,FIRE_CENTRE,ZONE,RESPONSE_TYPE_DESC,IGNITION_DATE,FIRE_OUT_DATE,FIRE_STATUS,FIRE_CAUSE,FIRE_TYPE,INCIDENT_NAME,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_URL,FEATURE_CODE
13014428,96,2023,C10096,7,1,Modified,2023-04-26Z,2023-04-27Z,Out,Person,Fire,C10096,N of Lighting Creek,53.0211,-122.0597,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10096,JA70003000
13014440,112,2023,C10112,7,1,Full,2023-04-28Z,2023-04-30Z,Out,Person,Fire,C10112,N of Kluskus Lake,53.0882,-124.4962,2.05,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10112,JA70003000
13014465,148,2023,C10148,7,1,Full,2023-04-30Z,2023-04-30Z,Out,Person,Fire,C10148,S of Scott Road,53.0504,-122.532,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10148,JA70003000
13014597,382,2023,C10382,7,1,Full,2023-05-18Z,2023-05-29Z,Out,Lightning,Fire,C10382,1.2 km W of Heyde Creek,53.0758,-121.8475,74,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10382,JA70003000
13014605,395,2023,C10395,7,1,Full,2023-05-17Z,2023-05-28Z,Out,Lightning,Fire,C10395,1.6km SE of Towkuh Creek,53.2956,-121.6261,82,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10395,JA70003000
13014621,418,2023,C10418,7,1,Full,2023-05-18Z,2023-05-20Z,Out,Lightning,Fire,C10418,1.2km N of Wingdam Lake,53.037,-121.9613,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10418,JA70003000
13014632,431,2023,C10431,7,1,Full,2023-05-20Z,2023-05-29Z,Out,Lightning,Fire,TZENZAICUT LAKE,11km W of Tzenzaicut Lake,52.6272,-123.0407,75,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10431,JA70003000
13014633,439,2023,C10439,7,1,Full,2023-05-20Z,2023-05-24Z,Out,Lightning,Fire,C10439,9km E of Trout Lake,53.161,-123.3878,1.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10439,JA70003000
13014953,996,2023,C10996,7,1,Full,2023-06-29Z,2023-06-29Z,Out,Lightning,Fire,C10996,N of Tingley Creek,52.4816,-122.5164,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10996,JA70003000
13014983,1045,2023,C11045,7,1,Full,2023-07-01Z,2023-07-01Z,Out,Lightning,Fire,C11045,1.4km E of Pantage Lake,53.2044,-123.0517,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11045,JA70003000
